Codmun6,Codmun7,cidade,regiao_metropolitana,uf,regiao,veiculos_mapeados,vei100milh,pais,POP,IDHM,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,RDPC
355030.0,3550308.0,SÃO PAULO,RM São Paulo,SP,Sudeste,87,0.778690098257265,Brasil,11172609.0,0.805,0.677,0.725,0.855,0.843,1516.21
230440.0,2304400.0,FORTALEZA,RM Fortaleza,CE,Nordeste,43,1.7714266411032,Brasil,2427422.0,0.754,0.658,0.695,0.824,0.749,846.36
530010.0,5300108.0,BRASÍLIA,RIDE DF,DF,Centro-Oeste,40,1.57244942806083,Brasil,2543802.0,0.824,0.723,0.742,0.873,0.863,1715.11
410690.0,4106902.0,CURITIBA,RM Curitiba,PR,Sul,39,2.24015881002764,Brasil,1740948.0,0.823,0.74,0.768,0.855,0.85,1581.04
431490.0,4314902.0,PORTO ALEGRE,RM Porto Alegre,RS,Sul,39,2.79716267293996,Brasil,1394270.0,0.805,0.748,0.702,0.857,0.867,1758.27
330455.0,3304557.0,RIO DE JANEIRO,RM Rio de Janeiro,RJ,Sudeste,34,0.542662705441726,Brasil,6265402.0,0.799,0.722,0.719,0.845,0.84,1492.63
500270.0,5002704.0,CAMPO GRANDE,n/d,MS,Centro-Oeste,32,4.11354938894509,Brasil,777917.0,0.784,0.667,0.724,0.844,0.79,1089.37
310620.0,3106200.0,BELO HORIZONTE,RM Belo Horizonte,MG,Sudeste,31,1.31554657777533,Brasil,2356435.0,0.81,0.702,0.737,0.856,0.841,1497.29
520870.0,5208707.0,GOIÂNIA,n/d,GO,Centro-Oeste,29,2.23565154980762,Brasil,1297161.0,0.799,0.714,0.739,0.838,0.824,1348.55
292740.0,2927408.0,SALVADOR,RM Salvador,BA,Nordeste,27,1.01862460778237,Brasil,2650633.0,0.759,0.697,0.679,0.835,0.772,973.0
150140.0,1501402.0,BELÉM,RM Belém,PA,Norte,24,1.73261054596724,Brasil,1385193.0,0.746,0.692,0.673,0.822,0.751,853.82
510340.0,5103403.0,CUIABÁ,n/d,MT,Centro-Oeste,24,4.38518756726238,Brasil,547297.0,0.785,0.702,0.726,0.834,0.8,1161.49
250750.0,2507507.0,JOÃO PESSOA,n/d,PB,Nordeste,20,2.80390864865623,Brasil,713290.0,0.763,0.663,0.693,0.832,0.77,964.82
411370.0,4113700.0,LONDRINA,n/d,PR,Sul,20,3.97181599370864,Brasil,503548.0,0.778,0.649,0.712,0.837,0.789,1083.35
270430.0,2704302.0,MACEIÓ,n/d,AL,Nordeste,18,1.9467646393997,Brasil,924611.0,0.721,0.591,0.635,0.799,0.739,792.54
261160.0,2611606.0,RECIFE,RM Recife,PE,Nordeste,18,1.18085983652964,Brasil,1524313.0,0.772,0.664,0.698,0.825,0.798,1144.26
211130.0,2111300.0,SÃO LUÍS,n/d,MA,Nordeste,18,1.79086479866202,Brasil,1005101.0,0.768,0.735,0.752,0.813,0.741,805.36
130260.0,1302603.0,MANAUS,n/d,AM,Norte,17,0.947897424116629,Brasil,1793443.0,0.737,0.679,0.658,0.826,0.738,790.27
240810.0,2408102.0,NATAL,n/d,RN,Nordeste,17,2.13036318932914,Brasil,797986.0,0.763,0.659,0.694,0.835,0.768,950.34
110020.0,1100205.0,PORTO VELHO,n/d,RO,Norte,17,4.02314491604643,Brasil,422555.0,0.736,0.619,0.638,0.819,0.764,929.19
221100.0,2211001.0,TERESINA,n/d,PI,Nordeste,16,1.98469797858511,Brasil,806168.0,0.751,0.642,0.707,0.82,0.731,757.57
320530.0,3205309.0,VITÓRIA,n/d,ES,Sudeste,16,4.9170403105111,Brasil,325399.0,0.845,0.789,0.805,0.855,0.876,1866.58
280030.0,2800308.0,ARACAJU,n/d,SE,Nordeste,15,2.65358038756426,Brasil,565274.0,0.77,0.695,0.708,0.823,0.784,1052.03
354340.0,3543402.0,RIBEIRÃO PRETO,n/d,SP,Sudeste,15,2.50406493207307,Brasil,599026.0,0.8,0.683,0.739,0.844,0.82,1314.04
350950.0,3509502.0,CAMPINAS,n/d,SP,Sudeste,14,1.30599085992968,Brasil,1071983.0,0.805,0.677,0.731,0.86,0.829,1390.83
420240.0,4202404.0,BLUMENAU,n/d,SC,Sul,13,4.24291677681931,Brasil,306393.0,0.806,0.659,0.722,0.894,0.812,1253.17
420540.0,4205407.0,FLORIANÓPOLIS,n/d,SC,Sul,13,3.11318337368498,Brasil,417579.0,0.847,0.8,0.8,0.873,0.87,1798.12
313670.0,3136702.0,JUIZ DE FORA,n/d,MG,Sudeste,13,2.53520522486295,Brasil,512779.0,0.778,0.65,0.711,0.844,0.784,1050.88
411520.0,4115200.0,MARINGÁ,n/d,PR,Sul,13,3.66701268222232,Brasil,354512.0,0.808,0.691,0.768,0.852,0.806,1202.63
420910.0,4209102.0,JOINVILLE,n/d,SC,Sul,12,2.34189295207316,Brasil,512406.0,0.809,0.709,0.749,0.889,0.795,1126.74
330100.0,3301009.0,CAMPOS DOS GOYTACAZES,n/d,RJ,Sudeste,11,2.38823079862438,Brasil,460592.0,0.716,0.555,0.619,0.83,0.715,682.59
410480.0,4104808.0,CASCAVEL,n/d,PR,Sul,11,3.90386553667504,Brasil,281772.0,0.782,0.63,0.728,0.846,0.776,1003.38
521150.0,5211503.0,ITUMBIARA,n/d,GO,Centro-Oeste,11,11.9268342929014,Brasil,92229.0,0.752,0.556,0.682,0.838,0.744,821.43
110012.0,1100122.0,JI-PARANÁ,n/d,RO,Norte,11,9.49126803340926,Brasil,115896.0,0.714,0.532,0.617,0.81,0.728,743.35
