cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
MARÍLIA,352900,10,4.7,n/d,SP,São Paulo,SE,Brasil,213999,953.2,0.673,0.798,0.776,0.854,0.768
POUSO ALEGRE,315250,6,4.6,n/d,MG,Minas Gerais,SE,Brasil,129577,878.26,0.619,0.774,0.704,0.872,0.755
CASCAVEL,410480,13,4.6,n/d,PR,Paraná,S,Brasil,281772,1003.38,0.63,0.782,0.728,0.846,0.776
JAÚ,352530,6,4.6,n/d,SP,São Paulo,SE,Brasil,130260,951.17,0.572,0.778,0.693,0.886,0.768
RIO VERDE,521880,8,4.6,n/d,GO,Goiás,CO,Brasil,175474,936.75,0.556,0.754,0.656,0.853,0.765
SINOP,510790,5,4.5,n/d,MT,Mato Grosso,CO,Brasil,112124,877.68,0.571,0.754,0.682,0.832,0.755
CURITIBA,410690,77,4.4,RM Curitiba,PR,Paraná,S,Brasil,1740948,1581.04,0.74,0.823,0.768,0.855,0.85
BAURU,350600,15,4.4,n/d,SP,São Paulo,SE,Brasil,339422,1163.86,0.672,0.801,0.752,0.854,0.8
PASSO FUNDO,431410,8,4.4,n/d,RS,Rio Grande do Sul,S,Brasil,183407,1068.95,0.663,0.776,0.699,0.849,0.787
SÃO JOSÉ,421660,9,4.3,n/d,SC,Santa Catarina,S,Brasil,208673,1157.43,0.728,0.809,0.752,0.88,0.799
CAMPO GRANDE,500270,33,4.2,n/d,MS,Mato Grosso do Sul,CO,Brasil,777917,1089.37,0.667,0.784,0.724,0.844,0.79
SETE LAGOAS,316720,9,4.2,n/d,MG,Minas Gerais,SE,Brasil,213087,809.26,0.59,0.76,0.705,0.84,0.742
SÃO LEOPOLDO,431870,9,4.2,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,213161,939.93,0.599,0.739,0.612,0.861,0.766
VIAMÃO,432300,10,4.2,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,237679,707.05,0.576,0.717,0.591,0.866,0.72
NOVO HAMBURGO,431340,10,4.2,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,237941,1011.62,0.552,0.747,0.629,0.852,0.778
RESENDE,330420,5,4.2,n/d,RJ,Rio de Janeiro,SE,Brasil,119435,915.21,0.664,0.768,0.709,0.839,0.762
RONDONÓPOLIS,510760,8,4.1,n/d,MT,Mato Grosso,CO,Brasil,193435,843.62,0.598,0.755,0.698,0.823,0.749
BRAGANÇA PAULISTA,350760,6,4.1,n/d,SP,São Paulo,SE,Brasil,145407,974.08,0.623,0.776,0.704,0.861,0.772
ALVORADA,430060,8,4.1,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,194977,600.48,0.563,0.699,0.564,0.874,0.694
VARGINHA,317070,5,4.1,n/d,MG,Minas Gerais,SE,Brasil,122584,904.57,0.629,0.778,0.707,0.875,0.76
URUGUAIANA,432240,5,4.0,n/d,RS,Rio Grande do Sul,S,Brasil,124283,714.26,0.606,0.744,0.661,0.863,0.722
COTIA,351300,8,4.0,RM São Paulo,SP,São Paulo,SE,Brasil,199437,1085.66,0.639,0.78,0.707,0.851,0.789
ATIBAIA,350410,5,4.0,n/d,SP,São Paulo,SE,Brasil,125501,1063.52,0.58,0.765,0.67,0.851,0.786
NITERÓI,330330,19,3.9,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,482950,2000.29,0.794,0.837,0.773,0.854,0.887
FOZ DO IGUAÇU,410830,10,3.9,n/d,PR,Paraná,S,Brasil,254276,842.26,0.591,0.751,0.661,0.858,0.748
BLUMENAU,420240,12,3.9,n/d,SC,Santa Catarina,S,Brasil,306393,1253.17,0.659,0.806,0.722,0.894,0.812
RIO DAS OSTRAS,330452,4,3.8,n/d,RJ,Rio de Janeiro,SE,Brasil,104951,1051.19,0.665,0.773,0.689,0.854,0.784
SALTO,354520,4,3.8,n/d,SP,São Paulo,SE,Brasil,105198,876.67,0.632,0.78,0.751,0.837,0.755
VALINHOS,355620,4,3.8,n/d,SP,São Paulo,SE,Brasil,106411,1570.91,0.673,0.819,0.763,0.85,0.848
TATUÍ,355400,4,3.7,n/d,SP,São Paulo,SE,Brasil,106912,771.05,0.57,0.752,0.688,0.842,0.734
CANOAS,430460,12,3.7,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,322949,952.13,0.646,0.75,0.636,0.864,0.768
CACHOEIRO DE ITAPEMIRIM,320120,7,3.7,n/d,ES,Espírito Santo,SE,Brasil,188790,763.71,0.561,0.746,0.677,0.837,0.733
TERESÓPOLIS,330580,6,3.7,n/d,RJ,Rio de Janeiro,SE,Brasil,162971,859.79,0.531,0.73,0.605,0.855,0.752
ITAGUAÍ,330200,4,3.7,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,108802,635.5,0.575,0.715,0.638,0.814,0.703
RIBEIRÃO PRETO,354340,22,3.7,n/d,SP,São Paulo,SE,Brasil,599026,1314.04,0.683,0.8,0.739,0.844,0.82
MARINGÁ,411520,13,3.7,n/d,PR,Paraná,S,Brasil,354512,1202.63,0.691,0.808,0.768,0.852,0.806
SÃO CARLOS,354890,8,3.6,n/d,SP,São Paulo,SE,Brasil,220666,1079.45,0.693,0.805,0.766,0.863,0.788
COLATINA,320150,4,3.6,n/d,ES,Espírito Santo,SE,Brasil,110795,788.29,0.528,0.746,0.668,0.841,0.738
RIO GRANDE,431560,7,3.6,n/d,RS,Rio Grande do Sul,S,Brasil,195482,859.2,0.584,0.744,0.637,0.861,0.752
CATANDUVA,351110,4,3.6,n/d,SP,São Paulo,SE,Brasil,112210,945.05,0.611,0.785,0.74,0.853,0.767
ITAPETININGA,352230,5,3.6,n/d,SP,São Paulo,SE,Brasil,140581,741.64,0.598,0.763,0.705,0.864,0.728
PONTA GROSSA,411990,11,3.6,n/d,PR,Paraná,S,Brasil,309810,877.1,0.614,0.763,0.703,0.837,0.755
RIBEIRÃO PIRES,354330,4,3.5,RM São Paulo,SP,São Paulo,SE,Brasil,112775,847.11,0.684,0.784,0.76,0.847,0.749
JOÃO PESSOA,250750,25,3.5,n/d,PB,Paraíba,NE,Brasil,713290,964.82,0.663,0.763,0.693,0.832,0.77
RIO DE JANEIRO,330455,217,3.5,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,6265402,1492.63,0.722,0.799,0.719,0.845,0.84
ITABUNA,291480,7,3.4,n/d,BA,Bahia,NE,Brasil,203181,605.12,0.576,0.712,0.643,0.807,0.695
PINHAIS,411915,4,3.4,RM Curitiba,PR,Paraná,S,Brasil,116153,911.51,0.604,0.751,0.666,0.836,0.761
PINDAMONHANGABA,353800,5,3.4,n/d,SP,São Paulo,SE,Brasil,146392,826.02,0.663,0.773,0.736,0.843,0.745
PRESIDENTE PRUDENTE,354140,7,3.4,n/d,SP,São Paulo,SE,Brasil,205558,1080.22,0.674,0.806,0.774,0.858,0.788
TOLEDO,412770,4,3.4,n/d,PR,Paraná,S,Brasil,118908,876.72,0.586,0.768,0.702,0.855,0.755
JEQUIÉ,291800,5,3.3,n/d,BA,Bahia,NE,Brasil,150577,473.92,0.49,0.665,0.568,0.79,0.656
APARECIDA DE GOIÂNIA,520140,15,3.3,n/d,GO,Goiás,CO,Brasil,452269,689.3,0.57,0.718,0.62,0.834,0.716
PIRACICABA,353870,12,3.3,n/d,SP,São Paulo,SE,Brasil,363011,1143.2,0.64,0.785,0.717,0.848,0.797
TABOÃO DA SERRA,355280,8,3.3,RM São Paulo,SP,São Paulo,SE,Brasil,243983,812.19,0.653,0.769,0.71,0.863,0.742
PARAUAPEBAS,150553,5,3.3,n/d,PA,Pará,N,Brasil,153443,627.61,0.603,0.715,0.644,0.809,0.701
TAUBATÉ,355410,9,3.3,n/d,SP,São Paulo,SE,Brasil,276215,1011.95,0.682,0.8,0.746,0.883,0.778
ARACAJU,280030,18,3.2,n/d,SE,Sergipe,NE,Brasil,565274,1052.03,0.695,0.77,0.708,0.823,0.784
GARANHUNS,260600,4,3.1,n/d,PE,Pernambuco,NE,Brasil,128786,492.44,0.466,0.664,0.556,0.795,0.662
SANTA MARIA,431690,8,3.1,n/d,RS,Rio Grande do Sul,S,Brasil,258667,1127.25,0.683,0.784,0.715,0.848,0.795
GOVERNADOR VALADARES,312770,8,3.1,n/d,MG,Minas Gerais,SE,Brasil,261663,678.74,0.549,0.727,0.644,0.834,0.714
CAXIAS DO SUL,430510,13,3.0,n/d,RS,Rio Grande do Sul,S,Brasil,433304,1253.93,0.668,0.782,0.686,0.86,0.812
ITATIBA,352340,3,3.0,n/d,SP,São Paulo,SE,Brasil,101022,1080.74,0.599,0.778,0.708,0.844,0.788
SANTO ANDRÉ,354780,20,3.0,RM São Paulo,SP,São Paulo,SE,Brasil,674948,1304.31,0.707,0.815,0.769,0.861,0.819
ANGRA DOS REIS,330010,5,3.0,n/d,RJ,Rio de Janeiro,SE,Brasil,168814,798.68,0.554,0.724,0.605,0.846,0.74
JOINVILLE,420910,15,2.9,n/d,SC,Santa Catarina,S,Brasil,512406,1126.74,0.709,0.809,0.749,0.889,0.795
BARREIRAS,290320,4,2.9,n/d,BA,Bahia,NE,Brasil,136670,602.82,0.596,0.721,0.668,0.807,0.695
ALMIRANTE TAMANDARÉ,410040,3,2.9,RM Curitiba,PR,Paraná,S,Brasil,103008,646.02,0.496,0.699,0.575,0.84,0.706
PASSOS,314790,3,2.8,n/d,MG,Minas Gerais,SE,Brasil,105700,802.97,0.525,0.756,0.658,0.886,0.741
BARRA MANSA,330040,5,2.8,n/d,RJ,Rio de Janeiro,SE,Brasil,177326,705.1,0.582,0.729,0.657,0.819,0.72
CAMPINAS,350950,30,2.8,n/d,SP,São Paulo,SE,Brasil,1071983,1390.83,0.677,0.805,0.731,0.86,0.829
JANDIRA,352500,3,2.8,RM São Paulo,SP,São Paulo,SE,Brasil,108193,792.33,0.609,0.76,0.706,0.841,0.738
SÃO MATEUS,320490,3,2.8,n/d,ES,Espírito Santo,SE,Brasil,108223,699.99,0.557,0.735,0.655,0.843,0.719
ARAÇATUBA,350280,5,2.8,n/d,SP,São Paulo,SE,Brasil,180537,1036.09,0.643,0.788,0.744,0.841,0.782
SÃO BERNARDO DO CAMPO,354870,21,2.8,RM São Paulo,SP,São Paulo,SE,Brasil,761343,1212.65,0.702,0.805,0.752,0.861,0.807
UBERABA,317010,8,2.7,n/d,MG,Minas Gerais,SE,Brasil,292644,978.01,0.63,0.772,0.705,0.845,0.772
VOLTA REDONDA,330630,7,2.7,n/d,RJ,Rio de Janeiro,SE,Brasil,257116,920.51,0.672,0.771,0.72,0.833,0.763
JUNDIAÍ,352590,10,2.7,n/d,SP,São Paulo,SE,Brasil,368777,1431.55,0.674,0.822,0.768,0.866,0.834
MOSSORÓ,240800,7,2.7,n/d,RN,Rio Grande do Norte,NE,Brasil,258460,600.28,0.565,0.72,0.663,0.811,0.694
ANÁPOLIS,520110,9,2.7,n/d,GO,Goiás,CO,Brasil,333067,785.17,0.609,0.737,0.66,0.822,0.737
SÃO JOSÉ DOS PINHAIS,412550,7,2.7,RM Curitiba,PR,Paraná,S,Brasil,263194,846.93,0.617,0.758,0.678,0.859,0.749
TERESINA,221100,21,2.6,n/d,PI,Piauí,NE,Brasil,806168,757.57,0.642,0.751,0.707,0.82,0.731
LONDRINA,411370,13,2.6,n/d,PR,Paraná,S,Brasil,503548,1083.35,0.649,0.778,0.712,0.837,0.789
ARARAS,350330,3,2.5,n/d,SP,São Paulo,SE,Brasil,117824,921.76,0.617,0.781,0.728,0.859,0.763
SÃO JOSÉ DO RIO PRETO,354980,10,2.5,n/d,SP,São Paulo,SE,Brasil,405342,1169.16,0.661,0.797,0.748,0.846,0.801
PELOTAS,431440,8,2.4,n/d,RS,Rio Grande do Sul,S,Brasil,326650,894.35,0.58,0.739,0.632,0.844,0.758
MACAÉ,330240,5,2.4,n/d,RJ,Rio de Janeiro,SE,Brasil,206005,1103.42,0.678,0.764,0.681,0.828,0.792
BELO HORIZONTE,310620,57,2.4,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,2356435,1497.29,0.702,0.81,0.737,0.856,0.841
JUAZEIRO DO NORTE,230730,6,2.4,n/d,CE,Ceará,NE,Brasil,248222,439.53,0.528,0.694,0.642,0.81,0.644
PORTO SEGURO,292530,3,2.4,n/d,BA,Bahia,NE,Brasil,125914,527.04,0.499,0.676,0.572,0.801,0.673
VÁRZEA GRANDE,510840,6,2.4,n/d,MT,Mato Grosso,CO,Brasil,251845,668.86,0.604,0.734,0.661,0.842,0.711
PETRÓPOLIS,330390,7,2.4,n/d,RJ,Rio de Janeiro,SE,Brasil,294326,922.49,0.566,0.745,0.639,0.847,0.763
JACAREÍ,352440,5,2.4,n/d,SP,São Paulo,SE,Brasil,210767,846.53,0.66,0.777,0.749,0.837,0.749
GRAVATAÍ,430920,6,2.4,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,254991,737.29,0.611,0.736,0.636,0.862,0.727
SAPUCAIA DO SUL,432000,3,2.3,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,130595,733.28,0.589,0.726,0.624,0.844,0.726
SUZANO,355250,6,2.3,RM São Paulo,SP,São Paulo,SE,Brasil,261357,654.61,0.62,0.765,0.723,0.873,0.708
VALPARAÍSO DE GOIÁS,522185,3,2.3,RIDE DF,GO,Goiás,CO,Brasil,132705,764.73,0.663,0.746,0.695,0.815,0.733
OSASCO,353440,15,2.3,RM São Paulo,SP,São Paulo,SE,Brasil,665237,1003.4,0.648,0.776,0.718,0.84,0.776
NOVA FRIBURGO,330340,4,2.2,n/d,RJ,Rio de Janeiro,SE,Brasil,181153,894.75,0.55,0.745,0.645,0.846,0.758
PATOS DE MINAS,314800,3,2.2,n/d,MG,Minas Gerais,SE,Brasil,138003,843.57,0.576,0.765,0.698,0.855,0.749
CONTAGEM,311860,13,2.2,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,600466,824.3,0.623,0.756,0.697,0.832,0.745
LINHARES,320320,3,2.1,n/d,ES,Espírito Santo,SE,Brasil,139823,711.38,0.531,0.724,0.63,0.834,0.721
JUIZ DE FORA,313670,11,2.1,n/d,MG,Minas Gerais,SE,Brasil,512779,1050.88,0.65,0.778,0.711,0.844,0.784
PARANAGUÁ,411820,3,2.1,n/d,PR,Paraná,S,Brasil,139894,765.85,0.592,0.75,0.676,0.852,0.733
BOA VISTA,140010,6,2.1,n/d,RR,Roraima,N,Brasil,281538,786.55,0.687,0.752,0.708,0.816,0.737
NATAL,240810,17,2.1,n/d,RN,Rio Grande do Norte,NE,Brasil,797986,950.34,0.659,0.763,0.694,0.835,0.768
ALAGOINHAS,290070,3,2.1,n/d,BA,Bahia,NE,Brasil,141312,553.17,0.575,0.683,0.592,0.79,0.681
SÃO LUÍS,211130,21,2.1,n/d,MA,Maranhão,NE,Brasil,1005101,805.36,0.735,0.768,0.752,0.813,0.741
GUARUJÁ,351870,6,2.1,n/d,SP,São Paulo,SE,Brasil,290055,745,0.594,0.751,0.679,0.854,0.729
JUAZEIRO,291840,4,2.0,n/d,BA,Bahia,NE,Brasil,197031,476.58,0.511,0.677,0.594,0.796,0.657
ARAPONGAS,410150,2,1.9,n/d,PR,Paraná,S,Brasil,103954,855.02,0.567,0.748,0.669,0.834,0.751
VESPASIANO,317120,2,1.9,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,104081,539.05,0.477,0.688,0.592,0.811,0.677
AMERICANA,350160,4,1.9,n/d,SP,São Paulo,SE,Brasil,209811,1161.68,0.651,0.811,0.76,0.876,0.8
CARAPICUÍBA,351060,7,1.9,RM São Paulo,SP,São Paulo,SE,Brasil,368909,712.78,0.6,0.749,0.693,0.842,0.721
FRANCA,351620,6,1.9,n/d,SP,São Paulo,SE,Brasil,317558,846.57,0.631,0.78,0.753,0.842,0.749
VÁRZEA PAULISTA,355650,2,1.9,n/d,SP,São Paulo,SE,Brasil,106832,706.02,0.572,0.759,0.705,0.863,0.72
PAULO AFONSO,292400,2,1.9,n/d,BA,Bahia,NE,Brasil,107558,544.73,0.486,0.674,0.572,0.789,0.678
MESQUITA,330285,3,1.8,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,168234,640.37,0.662,0.737,0.678,0.839,0.704
MACAPÁ,160030,7,1.8,n/d,AP,Amapá,N,Brasil,395465,717.88,0.679,0.733,0.663,0.82,0.723
MAGÉ,330250,4,1.8,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,226225,567.59,0.545,0.709,0.626,0.832,0.685
DUQUE DE CAXIAS,330170,15,1.8,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,853747,592.81,0.584,0.711,0.624,0.833,0.692
SÃO JOSÉ DOS CAMPOS,354990,11,1.8,n/d,SP,São Paulo,SE,Brasil,627707,1190.96,0.703,0.807,0.764,0.855,0.804
LUZIÂNIA,521250,3,1.7,RIDE DF,GO,Goiás,CO,Brasil,173474,580.88,0.51,0.701,0.602,0.831,0.689
SOROCABA,355220,10,1.7,n/d,SP,São Paulo,SE,Brasil,581667,1107.19,0.677,0.798,0.762,0.843,0.792
SANTARÉM,150680,5,1.7,n/d,PA,Pará,N,Brasil,293064,409.07,0.569,0.691,0.648,0.807,0.632
ARAUCÁRIA,410180,2,1.7,RM Curitiba,PR,Paraná,S,Brasil,119047,814.39,0.569,0.74,0.639,0.852,0.743
MONTES CLAROS,314330,6,1.7,n/d,MG,Minas Gerais,SE,Brasil,359278,650.62,0.646,0.77,0.744,0.868,0.707
FEIRA DE SANTANA,291080,9,1.6,n/d,BA,Bahia,NE,Brasil,552741,662.24,0.576,0.712,0.619,0.82,0.71
MACEIÓ,270430,15,1.6,n/d,AL,Alagoas,NE,Brasil,924611,792.54,0.591,0.721,0.635,0.799,0.739
FRANCO DA ROCHA,351640,2,1.6,RM São Paulo,SP,São Paulo,SE,Brasil,123427,632.42,0.527,0.731,0.654,0.852,0.702
MANAUS,130260,29,1.6,n/d,AM,Amazonas,N,Brasil,1793443,790.27,0.679,0.737,0.658,0.826,0.738
BARBACENA,310560,2,1.6,n/d,MG,Minas Gerais,SE,Brasil,124847,854.27,0.569,0.769,0.687,0.881,0.751
ITAPEVI,352250,3,1.5,RM São Paulo,SP,São Paulo,SE,Brasil,200590,575.72,0.554,0.735,0.677,0.855,0.687
LIMEIRA,352690,4,1.5,n/d,SP,São Paulo,SE,Brasil,275032,910.85,0.61,0.775,0.719,0.852,0.761
QUEIMADOS,330414,2,1.5,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,137712,484.4,0.536,0.68,0.589,0.81,0.659
ARAPIRACA,270030,3,1.4,n/d,AL,Alagoas,NE,Brasil,212874,423.28,0.42,0.649,0.549,0.78,0.638
GUARULHOS,351880,17,1.4,RM São Paulo,SP,São Paulo,SE,Brasil,1213492,829.91,0.639,0.763,0.717,0.831,0.746
BELÉM,150140,19,1.4,RM Belém,PA,Pará,N,Brasil,1385193,853.82,0.692,0.746,0.673,0.822,0.751
BETIM,310670,5,1.3,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,376682,660.56,0.587,0.749,0.687,0.864,0.709
VITÓRIA DA CONQUISTA,293330,4,1.3,n/d,BA,Bahia,NE,Brasil,304599,555.66,0.493,0.678,0.581,0.788,0.681
RECIFE,261160,20,1.3,RM Recife,PE,Pernambuco,NE,Brasil,1524313,1144.26,0.664,0.772,0.698,0.825,0.798
FRANCISCO MORATO,351630,2,1.3,RM São Paulo,SP,São Paulo,SE,Brasil,154059,483.98,0.508,0.703,0.647,0.815,0.659
MARABÁ,150420,3,1.3,n/d,PA,Pará,N,Brasil,232030,527.86,0.508,0.668,0.564,0.785,0.673
ÁGUAS LINDAS DE GOIÁS,520025,2,1.3,RIDE DF,GO,Goiás,CO,Brasil,158508,449.38,0.488,0.686,0.588,0.848,0.647
CAMAÇARI,290570,3,1.2,RM Salvador,BA,Bahia,NE,Brasil,242015,553.18,0.578,0.694,0.616,0.798,0.681
