id,cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
id1153,VARGINHA,Jornal,317070,4,n/d,MG,Minas Gerais,SE,Brasil,122584,904.57,0.629,0.778,0.707,0.875,0.76
id446,CACHOEIRO DE ITAPEMIRIM,Jornal,320120,4,n/d,ES,Espírito Santo,SE,Brasil,188790,763.71,0.561,0.746,0.677,0.837,0.733
id5634,COLATINA,Jornal,320150,4,n/d,ES,Espírito Santo,SE,Brasil,110795,788.29,0.528,0.746,0.668,0.841,0.738
id2039,CASIMIRO DE ABREU,Jornal,330130,4,n/d,RJ,Rio de Janeiro,SE,Brasil,35180,768.45,0.568,0.726,0.642,0.811,0.734
id2062,ITAGUAÍ,Jornal,330200,4,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,108802,635.5,0.575,0.715,0.638,0.814,0.703
id2073,MACAÉ,Jornal,330240,4,n/d,RJ,Rio de Janeiro,SE,Brasil,206005,1103.42,0.678,0.764,0.681,0.828,0.792
id2089,MIGUEL PEREIRA,Jornal,330290,4,n/d,RJ,Rio de Janeiro,SE,Brasil,24530,801.63,0.561,0.745,0.675,0.828,0.74
id2113,NOVA IGUAÇU,Jornal,330350,4,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,795259,591,0.604,0.713,0.641,0.818,0.691
id2117,PARAÍBA DO SUL,Jornal,330370,4,n/d,RJ,Rio de Janeiro,SE,Brasil,40927,613.56,0.527,0.702,0.61,0.812,0.697
id2148,RIO DAS OSTRAS,Jornal,330452,4,n/d,RJ,Rio de Janeiro,SE,Brasil,104951,1051.19,0.665,0.773,0.689,0.854,0.784
id2215,SÃO JOÃO DE MERITI,Jornal,330510,4,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,458238,597.57,0.614,0.719,0.646,0.831,0.693
id2223,SAQUAREMA,Jornal,330550,4,n/d,RJ,Rio de Janeiro,SE,Brasil,73920,681.62,0.566,0.709,0.621,0.804,0.714
id5552,ADAMANTINA,Jornal,350010,4,n/d,SP,São Paulo,SE,Brasil,33490,975.43,0.608,0.79,0.75,0.852,0.772
id5554,AGUAÍ,Jornal,350030,4,n/d,SP,São Paulo,SE,Brasil,32089,636.07,0.467,0.715,0.606,0.858,0.703
id5004,ATIBAIA,Jornal,350410,4,n/d,SP,São Paulo,SE,Brasil,125501,1063.52,0.58,0.765,0.67,0.851,0.786
id5759,AVARÉ,Jornal,350450,4,n/d,SP,São Paulo,SE,Brasil,80833,854.42,0.582,0.767,0.695,0.866,0.751
id4022,BEBEDOURO,Jornal,350610,4,n/d,SP,São Paulo,SE,Brasil,74728,881.64,0.594,0.78,0.735,0.853,0.756
id5564,CÂNDIDO MOTA,Jornal,351000,4,n/d,SP,São Paulo,SE,Brasil,29731,627.55,0.532,0.747,0.704,0.845,0.701
id4089,CAPIVARI,Jornal,351040,4,n/d,SP,São Paulo,SE,Brasil,47858,820.46,0.547,0.75,0.669,0.848,0.744
id4131,DIADEMA,Jornal,351380,4,RM São Paulo,SP,São Paulo,SE,Brasil,385473,694.55,0.627,0.757,0.716,0.844,0.717
id4243,ITU,Jornal,352390,4,n/d,SP,São Paulo,SE,Brasil,153310,1038.14,0.621,0.773,0.692,0.854,0.782
id5578,ITUVERAVA,Jornal,352410,4,n/d,SP,São Paulo,SE,Brasil,38583,950.39,0.573,0.765,0.694,0.841,0.768
id5579,JABOTICABAL,Jornal,352430,4,n/d,SP,São Paulo,SE,Brasil,70863,1015.51,0.597,0.778,0.71,0.851,0.778
id5588,MAUÁ,Jornal,352940,4,RM São Paulo,SP,São Paulo,SE,Brasil,415015,709.25,0.641,0.766,0.733,0.852,0.721
id4423,PRESIDENTE PRUDENTE,Jornal,354140,4,n/d,SP,São Paulo,SE,Brasil,205558,1080.22,0.674,0.806,0.774,0.858,0.788
id5598,REGISTRO,Jornal,354260,4,n/d,SP,São Paulo,SE,Brasil,54129,699.41,0.572,0.754,0.702,0.851,0.718
id5599,RIBEIRÃO PIRES,Jornal,354330,4,RM São Paulo,SP,São Paulo,SE,Brasil,112775,847.11,0.684,0.784,0.76,0.847,0.749
id5602,SALTO,Jornal,354520,4,n/d,SP,São Paulo,SE,Brasil,105198,876.67,0.632,0.78,0.751,0.837,0.755
id4533,SÃO JOÃO DA BOA VISTA,Jornal,354910,4,n/d,SP,São Paulo,SE,Brasil,83244,998.31,0.624,0.797,0.749,0.871,0.776
id5618,TATUÍ,Jornal,355400,4,n/d,SP,São Paulo,SE,Brasil,106912,771.05,0.57,0.752,0.688,0.842,0.734
id5621,VALINHOS,Jornal,355620,4,n/d,SP,São Paulo,SE,Brasil,106411,1570.91,0.673,0.819,0.763,0.85,0.848
id5523,CIANORTE,Jornal,410550,4,n/d,PR,Paraná,S,Brasil,69698,837.13,0.549,0.755,0.685,0.841,0.747
id5679,FRANCISCO BELTRÃO,Jornal,410840,4,n/d,PR,Paraná,S,Brasil,77938,895.36,0.609,0.774,0.726,0.844,0.758
id5762,GUARAPUAVA,Jornal,410940,4,n/d,PR,Paraná,S,Brasil,165849,750.09,0.519,0.731,0.628,0.853,0.73
id5685,PATO BRANCO,Jornal,411850,4,n/d,PR,Paraná,S,Brasil,71860,1013.22,0.627,0.782,0.728,0.845,0.778
id5686,PINHAIS,Jornal,411915,4,RM Curitiba,PR,Paraná,S,Brasil,116153,911.51,0.604,0.751,0.666,0.836,0.761
id5017,RIO BRANCO DO SUL,Jornal,412220,4,RM Curitiba,PR,Paraná,S,Brasil,30647,548.8,0.414,0.679,0.545,0.847,0.679
id5388,CAÇADOR,Jornal,420300,4,n/d,SC,Santa Catarina,S,Brasil,70361,744.28,0.516,0.735,0.62,0.878,0.728
id5397,CAPIVARI DE BAIXO,Jornal,420395,4,n/d,SC,Santa Catarina,S,Brasil,21618,723.04,0.615,0.767,0.716,0.87,0.724
id5706,IÇARA,Jornal,420700,4,n/d,SC,Santa Catarina,S,Brasil,58666,759.54,0.511,0.741,0.645,0.861,0.732
id5712,PORTO UNIÃO,Jornal,421360,4,n/d,SC,Santa Catarina,S,Brasil,33342,864.41,0.593,0.786,0.724,0.891,0.752
id5483,SÃO FRANCISCO DO SUL,Jornal,421620,4,n/d,SC,Santa Catarina,S,Brasil,42245,801.49,0.634,0.762,0.699,0.856,0.74
id5152,ALEGRETE,Jornal,430040,4,n/d,RS,Rio Grande do Sul,S,Brasil,76994,705.29,0.567,0.74,0.664,0.849,0.72
id5171,CAÇAPAVA DO SUL,Jornal,430280,4,n/d,RS,Rio Grande do Sul,S,Brasil,33339,618.98,0.456,0.704,0.585,0.855,0.699
id5185,CANELA,Jornal,430440,4,n/d,RS,Rio Grande do Sul,S,Brasil,38874,787.78,0.562,0.748,0.667,0.849,0.738
id5193,CAPÃO DA CANOA,Jornal,430463,4,n/d,RS,Rio Grande do Sul,S,Brasil,41830,884.47,0.585,0.743,0.637,0.852,0.756
id5212,ENCANTADO,Jornal,430680,4,n/d,RS,Rio Grande do Sul,S,Brasil,20415,931.47,0.542,0.767,0.687,0.858,0.764
id5219,ESTÂNCIA VELHA,Jornal,430760,4,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,42455,848.45,0.543,0.757,0.652,0.887,0.749
id5042,FREDERICO WESTPHALEN,Jornal,430850,4,n/d,RS,Rio Grande do Sul,S,Brasil,28568,875.03,0.55,0.76,0.688,0.846,0.754
id5243,HORIZONTINA,Jornal,430960,4,n/d,RS,Rio Grande do Sul,S,Brasil,18290,1037.04,0.587,0.783,0.716,0.858,0.782
id5245,IBIRUBÁ,Jornal,431000,4,n/d,RS,Rio Grande do Sul,S,Brasil,19187,1062.3,0.511,0.765,0.671,0.848,0.786
id5274,NOVA PETRÓPOLIS,Jornal,431320,4,n/d,RS,Rio Grande do Sul,S,Brasil,18852,994.67,0.522,0.78,0.688,0.89,0.775
id5280,OSÓRIO,Jornal,431350,4,n/d,RS,Rio Grande do Sul,S,Brasil,40807,957.94,0.567,0.751,0.646,0.853,0.769
id5285,PANAMBI,Jornal,431390,4,n/d,RS,Rio Grande do Sul,S,Brasil,37837,864.44,0.574,0.761,0.691,0.848,0.752
id5293,RESTINGA SECA,Jornal,431550,4,n/d,RS,Rio Grande do Sul,S,Brasil,15743,660.14,0.419,0.683,0.542,0.828,0.709
id2673,SANTA MARIA,Jornal,431690,4,n/d,RS,Rio Grande do Sul,S,Brasil,258667,1127.25,0.683,0.784,0.715,0.848,0.795
id5739,SANTO ÂNGELO,Jornal,431750,4,n/d,RS,Rio Grande do Sul,S,Brasil,75626,936.27,0.58,0.772,0.696,0.863,0.765
id5323,SÃO PEDRO DO SUL,Jornal,431940,4,n/d,RS,Rio Grande do Sul,S,Brasil,16314,614.89,0.447,0.709,0.619,0.824,0.698
id5328,SÃO SEPÉ,Jornal,431960,4,n/d,RS,Rio Grande do Sul,S,Brasil,23625,656.77,0.43,0.708,0.576,0.871,0.708
id5351,TRAMANDAÍ,Jornal,432160,4,n/d,RS,Rio Grande do Sul,S,Brasil,41406,737.84,0.534,0.719,0.606,0.842,0.727
id5356,TRÊS PASSOS,Jornal,432190,4,n/d,RS,Rio Grande do Sul,S,Brasil,23429,823.33,0.555,0.768,0.71,0.858,0.745
id5357,TRIUNFO,Jornal,432200,4,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,25715,695.08,0.494,0.733,0.629,0.873,0.717
id1237,CORUMBÁ,Jornal,500320,4,n/d,MS,Mato Grosso do Sul,CO,Brasil,102596,627.1,0.546,0.7,0.586,0.834,0.701
id5658,DOURADOS,Jornal,500370,4,n/d,MS,Mato Grosso do Sul,CO,Brasil,194084,866.4,0.587,0.747,0.657,0.843,0.753
id5659,NOVA ANDRADINA,Jornal,500620,4,n/d,MS,Mato Grosso do Sul,CO,Brasil,44985,688.15,0.496,0.721,0.616,0.85,0.716
id1328,BARRA DO GARÇAS,Jornal,510180,4,n/d,MT,Mato Grosso,CO,Brasil,56419,789.99,0.604,0.748,0.693,0.817,0.738
id1376,RONDONÓPOLIS,Jornal,510760,4,n/d,MT,Mato Grosso,CO,Brasil,193435,843.62,0.598,0.755,0.698,0.823,0.749
id1390,TANGARÁ DA SERRA,Jornal,510795,4,n/d,MT,Mato Grosso,CO,Brasil,82699,846.59,0.522,0.729,0.626,0.825,0.749
id601,FORMOSA,Jornal,520800,4,RIDE DF,GO,Goiás,CO,Brasil,98932,732.24,0.561,0.744,0.666,0.852,0.726
id2317,ARIQUEMES,Jornal,110002,3,n/d,RO,Rondônia,N,Brasil,89766,689.95,0.514,0.702,0.6,0.806,0.716
id5785,CACOAL,Jornal,110004,3,n/d,RO,Rondônia,N,Brasil,78141,738.06,0.488,0.718,0.62,0.821,0.727
id2335,ROLIM DE MOURA,Jornal,110028,3,n/d,RO,Rondônia,N,Brasil,50379,657.65,0.474,0.7,0.598,0.808,0.709
id5793,MARABÁ,Jornal,150420,3,n/d,PA,Pará,N,Brasil,232030,527.86,0.508,0.668,0.564,0.785,0.673
id62,MACAPÁ,Jornal,160030,3,n/d,AP,Amapá,N,Brasil,395465,717.88,0.679,0.733,0.663,0.82,0.723
id4849,GURUPI,Jornal,170950,3,n/d,TO,Tocantins,N,Brasil,76292,778.9,0.655,0.759,0.706,0.843,0.736
id216,JUAZEIRO DO NORTE,Jornal,230730,3,n/d,CE,Ceará,NE,Brasil,248222,439.53,0.528,0.694,0.642,0.81,0.644
id1480,GARANHUNS,Jornal,260600,3,n/d,PE,Pernambuco,NE,Brasil,128786,492.44,0.466,0.664,0.556,0.795,0.662
id117,BARREIRAS,Jornal,290320,3,n/d,BA,Bahia,NE,Brasil,136670,602.82,0.596,0.721,0.668,0.807,0.695
id133,GUANAMBI,Jornal,291170,3,n/d,BA,Bahia,NE,Brasil,78399,496.05,0.455,0.673,0.584,0.789,0.663
id137,IRECÊ,Jornal,291460,3,n/d,BA,Bahia,NE,Brasil,65844,488.15,0.514,0.691,0.643,0.776,0.661
id5629,JUAZEIRO,Jornal,291840,3,n/d,BA,Bahia,NE,Brasil,197031,476.58,0.511,0.677,0.594,0.796,0.657
id159,PORTO SEGURO,Jornal,292530,3,n/d,BA,Bahia,NE,Brasil,125914,527.04,0.499,0.676,0.572,0.801,0.673
id814,ALMENARA,Jornal,310170,3,n/d,MG,Minas Gerais,SE,Brasil,38452,419.98,0.37,0.642,0.518,0.803,0.636
id829,ARCOS,Jornal,310420,3,n/d,MG,Minas Gerais,SE,Brasil,36383,691.16,0.536,0.749,0.671,0.874,0.717
id886,CARANGOLA,Jornal,311330,3,n/d,MG,Minas Gerais,SE,Brasil,32065,618.24,0.436,0.695,0.573,0.837,0.699
id888,CARATINGA,Jornal,311340,3,n/d,MG,Minas Gerais,SE,Brasil,84526,610.29,0.451,0.706,0.603,0.836,0.697
id932,FORMIGA,Jornal,312610,3,n/d,MG,Minas Gerais,SE,Brasil,64484,746.8,0.507,0.755,0.676,0.874,0.729
id999,LAGOA DA PRATA,Jornal,313720,3,n/d,MG,Minas Gerais,SE,Brasil,45628,707.01,0.471,0.732,0.655,0.832,0.72
id1010,LUZ,Jornal,313880,3,n/d,MG,Minas Gerais,SE,Brasil,17356,720.88,0.461,0.724,0.63,0.833,0.723
id1018,MARIANA,Jornal,314000,3,n/d,MG,Minas Gerais,SE,Brasil,53910,641.84,0.595,0.742,0.664,0.874,0.705
id1035,NOVA ERA,Jornal,314470,3,n/d,MG,Minas Gerais,SE,Brasil,17450,532.58,0.497,0.709,0.639,0.825,0.675
id1053,PARACATU,Jornal,314700,3,n/d,MG,Minas Gerais,SE,Brasil,84327,637.8,0.556,0.744,0.685,0.854,0.704
id1060,PEDRO LEOPOLDO,Jornal,314930,3,RM Belo Horizonte,MG,Minas Gerais,SE,Brasil,58479,721.11,0.583,0.757,0.7,0.856,0.723
id1098,SANTOS DUMONT,Jornal,316070,3,n/d,MG,Minas Gerais,SE,Brasil,46132,578.64,0.553,0.741,0.697,0.847,0.688
id438,ANCHIETA,Jornal,320040,3,n/d,ES,Espírito Santo,SE,Brasil,23799,608.42,0.526,0.73,0.654,0.856,0.696
id5635,LINHARES,Jornal,320320,3,n/d,ES,Espírito Santo,SE,Brasil,139823,711.38,0.531,0.724,0.63,0.834,0.721
id477,PINHEIROS,Jornal,320410,3,n/d,ES,Espírito Santo,SE,Brasil,23809,509.45,0.377,0.673,0.558,0.816,0.668
id483,SÃO GABRIEL DA PALHA,Jornal,320470,3,n/d,ES,Espírito Santo,SE,Brasil,31623,792.54,0.445,0.709,0.578,0.835,0.739
id5637,SÃO MATEUS,Jornal,320490,3,n/d,ES,Espírito Santo,SE,Brasil,108223,699.99,0.557,0.735,0.655,0.843,0.719
id2008,ARMAÇÃO DOS BÚZIOS,Jornal,330023,3,n/d,RJ,Rio de Janeiro,SE,Brasil,27276,851.39,0.58,0.728,0.624,0.824,0.75
id2011,ARRAIAL DO CABO,Jornal,330025,3,n/d,RJ,Rio de Janeiro,SE,Brasil,27627,714.47,0.627,0.733,0.677,0.805,0.722
id2032,CAMPOS DOS GOYTACAZES,Jornal,330100,3,n/d,RJ,Rio de Janeiro,SE,Brasil,460592,682.59,0.555,0.716,0.619,0.83,0.715
id2043,CORDEIRO,Jornal,330150,3,n/d,RJ,Rio de Janeiro,SE,Brasil,20407,724.29,0.581,0.729,0.649,0.826,0.724
id2076,MAGÉ,Jornal,330250,3,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,226225,567.59,0.545,0.709,0.626,0.832,0.685
id2085,MESQUITA,Jornal,330285,3,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,168234,640.37,0.662,0.737,0.678,0.839,0.704
id4978,NOVA FRIBURGO,Jornal,330340,3,n/d,RJ,Rio de Janeiro,SE,Brasil,181153,894.75,0.55,0.745,0.645,0.846,0.758
id2132,PORCIÚNCULA,Jornal,330410,3,n/d,RJ,Rio de Janeiro,SE,Brasil,17686,615.63,0.472,0.697,0.606,0.802,0.698
id2144,RIO BONITO,Jornal,330430,3,RM Rio de Janeiro,RJ,Rio de Janeiro,SE,Brasil,54869,643.54,0.525,0.71,0.62,0.819,0.705
id2234,TRÊS RIOS,Jornal,330600,3,n/d,RJ,Rio de Janeiro,SE,Brasil,77133,726.83,0.597,0.725,0.656,0.801,0.725
id2237,VALENÇA,Jornal,330610,3,n/d,RJ,Rio de Janeiro,SE,Brasil,71332,675.62,0.581,0.738,0.666,0.848,0.713
id5664,ARAÇATUBA,Jornal,350280,3,n/d,SP,São Paulo,SE,Brasil,180537,1036.09,0.643,0.788,0.744,0.841,0.782
id5556,ARARAS,Jornal,350330,3,n/d,SP,São Paulo,SE,Brasil,117824,921.76,0.617,0.781,0.728,0.859,0.763
id4025,BERTIOGA,Jornal,350635,3,n/d,SP,São Paulo,SE,Brasil,47239,736.03,0.542,0.73,0.654,0.817,0.727
id4061,CAIEIRAS,Jornal,350900,3,RM São Paulo,SP,São Paulo,SE,Brasil,86294,800.15,0.644,0.781,0.749,0.861,0.74
id5562,CAMPO LIMPO PAULISTA,Jornal,350960,3,n/d,SP,São Paulo,SE,Brasil,73614,767.85,0.637,0.769,0.739,0.84,0.733
id4103,CERQUILHO,Jornal,351150,3,n/d,SP,São Paulo,SE,Brasil,39409,894.52,0.606,0.782,0.739,0.854,0.758
id4109,CONCHAS,Jornal,351230,3,n/d,SP,São Paulo,SE,Brasil,16191,730.42,0.491,0.736,0.658,0.837,0.725
id5059,ESPÍRITO SANTO DO PINHAL,Jornal,351518,3,n/d,SP,São Paulo,SE,Brasil,41568,1048.6,0.575,0.787,0.712,0.872,0.784
id5744,FRANCA,Jornal,351620,3,n/d,SP,São Paulo,SE,Brasil,317558,846.57,0.631,0.78,0.753,0.842,0.749
id4165,GUARAREMA,Jornal,351830,3,RM São Paulo,SP,São Paulo,SE,Brasil,25691,748.79,0.551,0.731,0.656,0.817,0.729
id5572,IBIÚNA,Jornal,351970,3,n/d,SP,São Paulo,SE,Brasil,70850,624.55,0.433,0.71,0.614,0.832,0.7
id4224,ITAPEVA,Jornal,352240,3,n/d,SP,São Paulo,SE,Brasil,87462,630.48,0.546,0.732,0.697,0.803,0.702
id4970,ITAPEVI,Jornal,352250,3,RM São Paulo,SP,São Paulo,SE,Brasil,200590,575.72,0.554,0.735,0.677,0.855,0.687
id4230,ITAPIRA,Jornal,352260,3,n/d,SP,São Paulo,SE,Brasil,67517,849.81,0.558,0.762,0.692,0.852,0.75
id4234,ITAQUAQUECETUBA,Jornal,352310,3,RM São Paulo,SP,São Paulo,SE,Brasil,321198,502.85,0.542,0.714,0.648,0.844,0.665
id5575,ITATIBA,Jornal,352340,3,n/d,SP,São Paulo,SE,Brasil,101022,1080.74,0.599,0.778,0.708,0.844,0.788
id5582,JALES,Jornal,352480,3,n/d,SP,São Paulo,SE,Brasil,46877,850.11,0.567,0.776,0.73,0.855,0.75
id4263,JANDIRA,Jornal,352500,3,RM São Paulo,SP,São Paulo,SE,Brasil,108193,792.33,0.609,0.76,0.706,0.841,0.738
id4266,JARDINÓPOLIS,Jornal,352510,3,n/d,SP,São Paulo,SE,Brasil,37596,742.74,0.537,0.735,0.64,0.853,0.728
id4269,JARINU,Jornal,352520,3,n/d,SP,São Paulo,SE,Brasil,23797,718.61,0.508,0.733,0.659,0.826,0.723
id5584,JOSÉ BONIFÁCIO,Jornal,352570,3,n/d,SP,São Paulo,SE,Brasil,32661,863.34,0.542,0.777,0.717,0.869,0.752
id5767,LIMEIRA,Jornal,352690,3,n/d,SP,São Paulo,SE,Brasil,275032,910.85,0.61,0.775,0.719,0.852,0.761
id4311,MIRASSOL,Jornal,353030,3,n/d,SP,São Paulo,SE,Brasil,53576,841.27,0.577,0.762,0.698,0.846,0.748
id4334,MONTE ALTO,Jornal,353130,3,n/d,SP,São Paulo,SE,Brasil,46499,832.6,0.546,0.768,0.707,0.859,0.746
id5593,PARAGUAÇU PAULISTA,Jornal,353550,3,n/d,SP,São Paulo,SE,Brasil,40879,694.42,0.577,0.762,0.739,0.836,0.717
id4378,PEDREIRA,Jornal,353710,3,n/d,SP,São Paulo,SE,Brasil,41401,853.76,0.574,0.769,0.701,0.864,0.75
id4384,PERUÍBE,Jornal,353760,3,n/d,SP,São Paulo,SE,Brasil,59434,753.85,0.576,0.749,0.675,0.854,0.73
id4390,PINDAMONHANGABA,Jornal,353800,3,n/d,SP,São Paulo,SE,Brasil,146392,826.02,0.663,0.773,0.736,0.843,0.745
id4418,PRAIA GRANDE,Jornal,354100,3,n/d,SP,São Paulo,SE,Brasil,261424,820.97,0.633,0.754,0.692,0.834,0.744
id5601,RIO DAS PEDRAS,Jornal,354400,3,n/d,SP,São Paulo,SE,Brasil,29409,804,0.602,0.759,0.7,0.842,0.741
id5603,SANTA CRUZ DO RIO PARDO,Jornal,354640,3,n/d,SP,São Paulo,SE,Brasil,43593,818.3,0.544,0.762,0.686,0.867,0.744
id4487,SANTO ANTÔNIO DE POSSE,Jornal,354800,3,n/d,SP,São Paulo,SE,Brasil,20591,695.67,0.426,0.702,0.576,0.838,0.718
id5758,SÃO CARLOS,Jornal,354890,3,n/d,SP,São Paulo,SE,Brasil,220666,1079.45,0.693,0.805,0.766,0.863,0.788
id5612,SÃO PEDRO,Jornal,355040,3,n/d,SP,São Paulo,SE,Brasil,31561,803.02,0.539,0.755,0.674,0.863,0.741
id5614,SÃO VICENTE,Jornal,355100,3,n/d,SP,São Paulo,SE,Brasil,330341,789.32,0.65,0.768,0.716,0.857,0.738
id4681,SUZANO,Jornal,355250,3,RM São Paulo,SP,São Paulo,SE,Brasil,261357,654.61,0.62,0.765,0.723,0.873,0.708
id4702,TREMEMBÉ,Jornal,355480,3,n/d,SP,São Paulo,SE,Brasil,37302,959.88,0.637,0.785,0.72,0.873,0.769
id4705,TUPÃ,Jornal,355500,3,n/d,SP,São Paulo,SE,Brasil,62563,926.96,0.587,0.771,0.704,0.852,0.764
id5623,VARGEM GRANDE DO SUL,Jornal,355640,3,n/d,SP,São Paulo,SE,Brasil,39159,711.6,0.469,0.737,0.643,0.863,0.721
id4717,VINHEDO,Jornal,355670,3,n/d,SP,São Paulo,SE,Brasil,63120,1493.32,0.666,0.817,0.739,0.878,0.84
id5673,CAMPO MOURÃO,Jornal,410430,3,n/d,PR,Paraná,S,Brasil,86898,843.42,0.575,0.757,0.689,0.841,0.749
id1716,GUAÍRA,Jornal,410880,3,n/d,PR,Paraná,S,Brasil,30447,795.84,0.482,0.724,0.615,0.836,0.739
id4901,LAPA,Jornal,411320,3,RM Curitiba,PR,Paraná,S,Brasil,44798,608.6,0.448,0.706,0.595,0.848,0.696
id5534,MEDIANEIRA,Jornal,411580,3,n/d,PR,Paraná,S,Brasil,41568,914.67,0.546,0.763,0.686,0.849,0.762
id5521,PALOTINA,Jornal,411790,3,n/d,PR,Paraná,S,Brasil,28550,904.85,0.569,0.768,0.689,0.864,0.76
id5684,PARANAGUÁ,Jornal,411820,3,n/d,PR,Paraná,S,Brasil,139894,765.85,0.592,0.75,0.676,0.852,0.733
id5687,PONTA GROSSA,Jornal,411990,3,n/d,PR,Paraná,S,Brasil,309810,877.1,0.614,0.763,0.703,0.837,0.755
id1787,SÃO MIGUEL DO IGUAÇU,Jornal,412570,3,n/d,PR,Paraná,S,Brasil,25649,734.88,0.414,0.704,0.588,0.818,0.726
id5532,TELÊMACO BORBA,Jornal,412710,3,n/d,PR,Paraná,S,Brasil,69602,732.78,0.54,0.734,0.657,0.828,0.726
id1804,UNIÃO DA VITÓRIA,Jornal,412820,3,n/d,PR,Paraná,S,Brasil,52491,674.29,0.562,0.74,0.68,0.837,0.713
id5390,CAMPOS NOVOS,Jornal,420360,3,n/d,SC,Santa Catarina,S,Brasil,32596,708.77,0.522,0.742,0.658,0.861,0.721
id5395,CAPINZAL,Jornal,420390,3,n/d,SC,Santa Catarina,S,Brasil,20648,811.66,0.518,0.752,0.659,0.869,0.742
id3044,ITUPORANGA,Jornal,420850,3,n/d,SC,Santa Catarina,S,Brasil,22157,844.05,0.458,0.748,0.638,0.876,0.749
id3047,JAGUARUNA,Jornal,420880,3,n/d,SC,Santa Catarina,S,Brasil,17280,701.05,0.446,0.721,0.628,0.83,0.719
id5452,MARAVILHA,Jornal,421050,3,n/d,SC,Santa Catarina,S,Brasil,21897,896.02,0.562,0.781,0.708,0.886,0.758
id5465,PAPANDUVA,Jornal,421220,3,n/d,SC,Santa Catarina,S,Brasil,17882,589.35,0.394,0.704,0.603,0.836,0.691
id3119,POMERODE,Jornal,421320,3,n/d,SC,Santa Catarina,S,Brasil,27548,1022.91,0.558,0.78,0.687,0.886,0.78
id5487,SÃO JOAQUIM,Jornal,421650,3,n/d,SC,Santa Catarina,S,Brasil,24778,641.75,0.457,0.687,0.562,0.817,0.705
id5499,SEARA,Jornal,421750,3,n/d,SC,Santa Catarina,S,Brasil,16884,1188.18,0.505,0.779,0.674,0.872,0.804
id5500,SOMBRIO,Jornal,421770,3,n/d,SC,Santa Catarina,S,Brasil,26590,746.69,0.475,0.728,0.617,0.858,0.729
id5005,TAIÓ,Jornal,421780,3,n/d,SC,Santa Catarina,S,Brasil,17065,848.34,0.491,0.761,0.67,0.879,0.749
id5507,TRÊS BARRAS,Jornal,421830,3,n/d,SC,Santa Catarina,S,Brasil,18091,539.69,0.514,0.706,0.639,0.814,0.677
id3199,XAXIM,Jornal,421970,3,n/d,SC,Santa Catarina,S,Brasil,25674,783.29,0.494,0.752,0.662,0.871,0.737
id5174,CACHOEIRA DO SUL,Jornal,430300,3,n/d,RS,Rio Grande do Sul,S,Brasil,83072,793.67,0.539,0.742,0.648,0.854,0.739
id5182,CAMPO BOM,Jornal,430390,3,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,59572,879.65,0.52,0.745,0.643,0.852,0.755
id5184,CANDELÁRIA,Jornal,430420,3,n/d,RS,Rio Grande do Sul,S,Brasil,29867,620.92,0.377,0.674,0.521,0.842,0.699
id5215,ERECHIM,Jornal,430700,3,n/d,RS,Rio Grande do Sul,S,Brasil,95232,1038.39,0.629,0.776,0.716,0.833,0.782
id5221,ESTRELA,Jornal,430780,3,n/d,RS,Rio Grande do Sul,S,Brasil,30512,1002.78,0.578,0.767,0.684,0.85,0.776
id5229,GARIBALDI,Jornal,430860,3,n/d,RS,Rio Grande do Sul,S,Brasil,30501,1355.37,0.58,0.786,0.688,0.856,0.825
id2554,GRAMADO,Jornal,430910,3,n/d,RS,Rio Grande do Sul,S,Brasil,31974,1045.52,0.575,0.764,0.662,0.861,0.783
id5246,IGREJINHA,Jornal,431010,3,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,31455,848.23,0.444,0.721,0.571,0.876,0.749
id5048,IVOTI,Jornal,431080,3,RM Porto Alegre,RS,Rio Grande do Sul,S,Brasil,19764,1025.02,0.606,0.784,0.729,0.848,0.78
id5263,MARAU,Jornal,431180,3,n/d,RS,Rio Grande do Sul,S,Brasil,36196,980.92,0.61,0.774,0.699,0.857,0.773
id5283,PALMEIRA DAS MISSÕES,Jornal,431370,3,n/d,RS,Rio Grande do Sul,S,Brasil,33927,715.29,0.526,0.737,0.667,0.831,0.722
id5735,QUARAÍ,Jornal,431530,3,n/d,RS,Rio Grande do Sul,S,Brasil,22926,528.64,0.505,0.704,0.609,0.852,0.673
id5305,SANTIAGO,Jornal,431740,3,n/d,RS,Rio Grande do Sul,S,Brasil,48579,828.78,0.578,0.766,0.682,0.882,0.746
id5313,SÃO BORJA,Jornal,431800,3,n/d,RS,Rio Grande do Sul,S,Brasil,61136,705.72,0.527,0.736,0.643,0.86,0.72
